Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),NPHI,Gamma
11191,9847.13,712.961454,1110.132684,371672.2896,204419.7593,290331.6567,13444.63653,2.557117434,0.001847798,0.096475268,9.429428366,11.42225702,,
11192,9847.17,712.9643502,1113.614628,395329.5867,217431.2727,309272.553,14330.38955,2.557254247,0.001760098,0.085302295,8.207501842,9.88583631,,
11193,9847.21,712.9672463,1114.127384,361503.8858,198827.1372,282871.8256,13108.253,2.557053731,0.001888634,0.101963831,9.978730022,12.11864682,,
11194,9847.25,712.9701424,1119.118914,395295.2645,217412.3955,309970.8058,14376.38932,2.557254059,0.001760219,0.085317069,8.20922111,9.887985862,,
11195,9847.29,712.9730385,1107.445008,390784.197,214931.3083,304906.1846,14112.96138,2.557229111,0.001776211,0.087292829,8.436498514,10.17244597,,
11196,9847.33,712.9759346,1132.11115,390386.8443,214712.7644,307797.0707,14307.34292,2.557226889,0.001777635,0.087470145,8.456643578,10.19768843,,
11197,9847.37,712.9788307,1133.803583,395913.704,217752.5372,312374.0568,14524.27332,2.55725744,0.001758051,0.085051446,8.178265116,9.849287699,,
11198,9847.41,712.9817269,1132.226912,385462.7335,212004.5035,303928.6123,14127.80344,2.557199012,0.001795505,0.089713126,8.708002749,10.51304694,,
11199,9847.45,712.984623,1144.34649,386830.6926,212756.8809,306536.3052,14278.26937,2.55720682,0.0017905,0.089081422,8.637852401,10.4249614,,
11200,9847.49,712.9875191,1172.861578,349738.098,192355.9539,280332.8313,13119.77415,2.556975901,0.001938525,0.108920474,10.63394205,12.95399232,,
11201,9847.53,712.9904152,1168.955544,345652.4349,190108.8392,276630.7533,12938.19889,2.556947769,0.001956558,0.111503613,10.86663188,13.25188899,,
11202,9847.57,712.9933113,1158.871203,353373.7996,194355.5898,281675.8236,13152.19432,2.557000446,0.001922791,0.106696625,10.42915322,12.69235195,,
11203,9847.61,712.9962075,1180.658133,337600.6807,185680.3744,271430.9478,12719.38013,2.55689055,0.001993237,0.116871047,11.33336391,13.85137718,,
