Hole Depth (ft),True Vertical Depth (ft),Rate Of Penetration (ft/hr),Rotary RPM (rpm),Rotary Torque (ft-klbf),Weight on Bit (klb),Differential Pressure (psi),Inclination (deg),Gamma (API),Bit Size (In),Mud Weight (Lb/galUS)
2665,2665.3,199.4,80.2,4.8,2.1,278.95,0.6,45,17.5,10.8
2666,2666.35,204,79.7,6.7,3,310.6,0.6,45,17.5,10.8
2667,2667.35,200.4,79.9,5.8,3.9,347.55,0.6,45,17.5,10.8
2668,2668.36,201.9,79.9,5.8,2.3,326.91,0.6,45,17.5,10.8
2669,2669.41,186.2,80,7,8.4,493.75,0.6,45,17.5,10.8
2670,2670.35,179.6,80.2,4.7,2.4,313.33,0.6,52,17.5,10.8
2671,2671.1,163.5,80.1,1.8,-2.1,106.14,0.6,52,17.5,10.8
2672,2672.41,185.9,80,4.2,-1.2,234.34,0.6,49,17.5,10.8
2673,2673.39,198.7,80.1,5.3,1.9,357.69,0.6,52,17.5,10.8
2674,2674.34,200.1,79.9,4.9,0.2,299.93,0.6,52,17.5,10.8
2675,2675.35,200.2,80,4.6,0.3,225.01,0.7,52,17.5,10.8
2676,2676.35,202.3,80.3,4.9,1,234.5,0.7,51,17.5,10.8
2677,2677.33,209.7,79.7,5.9,1.1,224.61,0.7,52,17.5,10.8
2678,2678.32,227,80,5.6,1,237.81,0.7,52,17.5,10.8
2679,2679.31,229,79.9,6.3,2.1,264.24,0.7,52,17.5,10.8
2680,2680.3,223.4,80,7.7,3.7,295.37,0.7,52,17.5,10.8
2681,2681.31,227,80,6.4,2.6,301.96,0.7,52,17.5,10.8
2682,2682.35,226.9,80,7.2,2,243.72,0.7,48,17.5,10.8
2683,2683.37,226,79.9,5.8,2,221.06,0.7,52,17.5,10.8
2684,2684.34,224.7,79.9,7.8,3.6,222.99,0.7,52,17.5,10.8
2685,2685.31,228.6,80,6.7,3.6,228.55,0.7,52,17.5,10.8
2686,2686.33,224.7,79.7,6.7,3,236,0.7,58,17.5,10.8
2687,2687.34,225.5,80,6.2,2.4,234.48,0.7,58,17.5,10.8
2688,2688.33,231,80.1,6,3,202.57,0.7,58,17.5,10.8
2689,2689.29,224.5,80,7.3,5.6,243.69,0.7,58,17.5,10.8
2690,2690.34,224.9,80.3,7.3,4.8,217,0.7,120,17.5,10.8
2691,2691.37,225.2,80.2,6.3,3.2,213.25,0.7,58,17.5,10.8
2692,2692.4,223.7,79.5,7.9,3.8,275.79,0.7,58,17.5,10.8
2693,2693.37,222.1,79.9,5,0,155.88,0.7,58,17.5,10.8
2694,2694.33,228.8,79.9,5.6,1.4,192.28,0.7,58,17.5,10.8
2695,2695.29,223.6,79.9,6.5,3.3,244.35,0.7,58,17.5,10.8
2696,2696.27,227.3,79.9,6.2,1.6,232.01,0.7,52,17.5,10.8
2697,2697.33,225.9,79.9,5.7,0.7,166.1,0.7,52,17.5,10.8
2698,2698.36,224.1,80,6.3,1.8,228.21,0.7,56,17.5,10.8
2699,2699.3,226.5,80.1,5.5,1.1,212.41,0.7,58,17.5,10.8
2700,2700.27,226.7,80.2,3.9,-0.6,162.25,0.7,58,17.5,10.8
2701,2701.33,226.2,80.4,3,-1.4,105.88,0.7,58,17.5,10.8
2702,2702.38,222.8,80.3,2.9,-2.5,89.61,0.7,58,17.5,10.8
2703,2703.35,227.2,80.1,2.4,-3.4,85.67,0.7,58,17.5,10.8
2704,2704.32,228,80,5,-0.8,169.97,0.7,58,17.5,10.8
2705,2705.29,224.5,80.1,3.2,-2.3,128.94,0.7,58,17.5,10.8
2706,2706.23,235.9,80.1,4,-2.1,116.25,0.7,58,17.5,10.8
2707,2707.33,249,79.9,6.7,1.8,263.73,0.7,58,17.5,10.8
2708,2708.4,250.7,79.9,6.6,2.2,269.88,0.7,58,17.5,10.8
2709,2709.32,220.6,79.2,8.1,3.5,371.56,0.7,65,17.5,10.8
2710,2710.36,249.4,80.2,6.2,1.5,320.14,0.7,65,17.5,10.8
2711,2711.34,247,80,6.9,2.5,283.58,0.7,65,17.5,10.8
2712,2712.36,254.4,79.6,9.6,2.7,334.09,0.7,65,17.5,10.8
2713,2713.36,247.4,80,7.4,1.5,279.11,0.7,58,17.5,10.8
2714,2714.34,255,79.9,7,1.2,320.9,0.7,58,17.5,10.8
2715,2715.33,251.8,80,5.3,-1.3,229.88,0.7,58,17.5,10.8
2716,2716.29,251,80.3,3.8,-1.3,229.48,0.7,58,17.5,10.8
2717,2717.28,248.1,79.7,5.8,-1.3,246.79,0.7,45,17.5,10.8
2718,2718.31,253.3,80.1,7.1,0.8,325.85,0.7,39,17.5,10.8
2719,2719.28,251.4,79.4,6.6,-0.6,245.5,0.7,39,17.5,10.8
2720,2720.26,250.5,80.1,7.9,2.7,317.43,0.7,45,17.5,10.8
2721,2721.23,245,80,7.3,2.4,344.32,0.7,45,17.5,10.8
2722,2722.25,249.2,80.1,6.8,1.6,345.35,0.7,45,17.5,10.8
2723,2723.25,249.4,80.1,6.8,-0.1,357.05,0.7,45,17.5,10.8
2724,2724.32,251.5,80.1,7.3,1.1,356.75,0.7,45,17.5,10.8
2725,2725.44,242.2,79.5,8,1.5,432.51,0.7,71,17.5,10.8
2726,2726.39,224.2,80,5.4,-1.5,285.34,0.7,61,17.5,10.8
2727,2727.33,247.8,80.6,5.2,-1,280.81,0.7,58,17.5,10.8
2728,2728.27,253.6,80,5.6,-0.2,329.71,0.7,58,17.5,10.8
2729,2729.26,249.4,79.9,7.4,0.3,336.2,0.7,58,17.5,10.8
2730,2730.3,249.5,80,7.1,-0.3,328.36,0.7,58,17.5,10.8
2731,2731.3,249.3,80.4,3.8,-0.5,335.88,0.7,-13,17.5,10.8
2732,2732.26,241.6,79.5,7,-1.3,358.81,0.7,53,17.5,10.8
2733,2733.34,255.3,80.1,6.4,-1,339.64,0.7,39,17.5,10.8
2734,2734.42,251.5,79.7,6.4,-1,350.33,0.7,58,17.5,10.8
2735,2735.3,250.1,80.2,4.3,-1.5,333.02,0.7,52,17.5,10.8
2736,2736.31,249.1,79.9,5.8,-2.7,286.44,0.7,-13,17.5,10.8
2737,2737.38,253.7,79.8,4.2,-3.7,268.53,0.7,-13,17.5,10.8
2738,2738.34,249.5,79.7,4.7,-4.2,254.53,0.7,-999.25,17.5,10.8
2739,2739.38,252.1,80.1,4.8,-2.8,279.35,0.7,-999.25,17.5,10.8
2740,2740.36,244.6,80.2,4,-2.7,313.5,0.7,-999.25,17.5,10.8
2741,2741.33,252.6,79.9,6.8,-0.1,413.26,0.7,-999.25,17.5,10.8
2742,2742.31,245.9,79.7,7.6,1.4,420.16,0.7,-999.25,17.5,10.8
2743,2743.29,243,80.1,6.4,1,447.99,0.7,-999.25,17.5,10.8
2744,2744.27,249,79.9,7.7,-1.2,384.71,0.7,-999.25,17.5,10.8
2745,2745.22,248.2,80.4,4.9,-0.6,389.43,0.7,-999.25,17.5,10.8
2746,2746.23,250,80,5.7,-2.4,320.75,0.7,-999.25,17.5,10.8
2747,2747.25,256.4,80.4,2.7,-2.9,333.94,0.7,-999.25,17.5,10.8
2748,2748.26,250.1,80.2,4.2,-3.9,304.47,0.7,-999.25,17.5,10.8
2749,2749.33,249.6,79.9,5,-4.7,269.34,0.7,-999.25,17.5,10.8
2750,2750.39,251.6,79.9,5.1,-3.9,292.1,0.7,-999.25,17.5,10.8
2751,2751.36,251.1,80.7,3.1,-3.3,287.89,0.7,-999.25,17.5,10.8
2752,2752.36,250.7,79.6,8.1,-3.7,275.35,0.7,-999.25,17.5,10.8
2753,2753.37,249.7,79.5,6.8,-4.2,277.41,0.7,-999.25,17.5,10.8
2754,2754.37,249.5,80.2,3.1,-5.1,284.53,0.7,-999.25,17.5,10.8
2755,2755.32,251,79.8,5.8,-4.8,275.47,0.7,-999.25,17.5,10.8
2756,2756.32,251.7,80,5.6,-3.7,273.76,0.7,-999.25,17.5,10.8
2757,2757.3,244.5,79.6,6.4,-3.3,350.22,0.7,-999.25,17.5,10.8
2758,2758.28,252.5,79.6,5,-5.5,286.76,0.7,-999.25,17.5,10.8
2759,2759.26,251.4,79.7,6.7,-3.1,341.17,0.7,-999.25,17.5,10.8
2760,2760.33,249.8,80,6.6,-0.6,397.98,0.7,-999.25,17.5,10.8
2761,2761.37,236.8,79.7,7.1,-1.4,407.54,0.7,-999.25,17.5,10.8
2762,2762.34,248.7,80.3,6.6,-0.4,350.15,0.7,-999.25,17.5,10.8
2763,2763.28,247.1,79.6,6.4,-0.2,487.28,0.7,-999.25,17.5,10.8
2764,2764.34,245.7,79.9,6.4,-1.2,445.21,0.7,-999.25,17.5,10.8
2765,2765.4,253.6,79.7,7.1,-1.9,434.25,0.7,-999.25,17.5,10.8
2766,2766.14,187.8,80.2,1.9,-5.9,240.52,0.7,71,17.5,10.8
2767,2767.3,231.8,79.7,4,-3.7,357.39,0.7,71,17.5,10.8
2768,2768.28,253.9,80.3,2.8,-5.3,312.71,0.7,71,17.5,10.8
2769,2769.35,247.6,80.2,6.2,-0.9,463.29,0.7,58,17.5,10.8
2770,2770.37,242,80.3,2.6,-4.3,327.1,0.7,45,17.5,10.8
2771,2771.36,252.9,79.9,3.1,-3.4,376.86,0.7,45,17.5,10.8
2772,2772.37,252.4,79.7,5.3,-3.7,371.21,0.7,45,17.5,10.8
2773,2773.39,248.1,80.1,5.6,0,532.18,0.9,45,17.5,10.8
2774,2774.39,248.4,80,4.5,-3.3,367.48,1,45,17.5,10.8
2775,2775.35,231.9,78,8.5,1.5,552.73,1,45,17.5,10.8
2776,2776.27,217.6,80.4,6.4,0.6,509.03,1,52,17.5,10.8
2777,2777.34,249.4,79.7,7,-0.2,550.36,1,65,17.5,10.8
2778,2778.36,251.9,80.2,3.6,-5.7,353.68,1,65,17.5,10.8
2779,2779.33,249.9,79.7,5,-5.4,307.11,1,58,17.5,10.8
2780,2780.4,251.7,80,3.1,-4.3,319.88,1,45,17.5,10.8
2781,2781.33,245.9,80.3,4.7,-2.8,362.25,1,45,17.5,10.8
2782,2782.3,253.4,79.9,4.7,-3.6,360.08,1,45,17.5,10.8
2783,2783.35,253.6,80,3.6,-4.5,337.64,1,45,17.5,10.8
2784,2784.36,253.4,79.9,4.2,-4.4,339.6,1,45,17.5,10.8
2785,2785.35,250.6,80.1,5,-2,395.78,1,52,17.5,10.8
2786,2786.34,251,80,6.5,-0.5,488.03,1,52,17.5,10.8
2787,2787.3,249.2,80,5.8,-2.3,427.14,1,52,17.5,10.8
2788,2788.29,253.9,79.9,5.4,-1.9,437.41,1,52,17.5,10.8
2789,2789.24,248.2,80,5,-2.2,415.39,1,52,17.5,10.8
2790,2790.21,250.9,80.2,4.2,-2.1,416.32,1,52,17.5,10.8
2791,2791.3,252.3,80.1,4.8,-3.2,363.61,1,52,17.5,10.8
2792,2792.38,251.8,80,2.9,-5.2,329.48,1,52,17.5,10.8
2793,2793.35,248.6,80.4,2.4,-5.9,306.26,1,40,17.5,10.8
2794,2794.36,251.3,80.1,4.2,-5.8,311.72,1,-999.25,17.5,10.8
2795,2795.32,246.7,80.4,3.7,-5.5,338.94,1,-999.25,17.5,10.8
2796,2796.3,252.8,80.1,3.5,-5.5,327.89,1,-999.25,17.5,10.8
2797,2797.35,252.9,79.9,4.8,-6.2,321.92,1,-999.25,17.5,10.8
2798,2798.29,253.9,79.5,6.2,-6.7,340.34,1,44,17.5,10.8
2799,2799.28,277.3,79.8,3.1,-6.6,354.54,1,39,17.5,10.8
2800,2800.28,268.6,80.4,1.1,-6.1,354.38,1,26,17.5,10.8
2801,2801.34,272,79.7,4.2,-6.3,351.12,1,26,17.5,10.8
2802,2802.31,270,79.6,5.9,-6.3,326.81,1,39,17.5,10.8
2803,2803.29,271,79.9,3.8,-7.8,357.04,1,37,17.5,10.8
2804,2804.27,276.5,79.6,5.2,-8,316.24,1,32,17.5,10.8
2805,2805.24,268.6,80.2,4.8,-6,326.69,1,-13,17.5,10.8
2806,2806.3,268.2,80.2,5,0.1,427.23,1,45,17.5,10.8
2807,2807.32,271.2,80.5,2.7,-6.8,353.69,1,45,17.5,10.8
2808,2808.32,268.7,79.6,5,-7.7,361.68,1,39,17.5,10.8
2809,2809.31,274.6,80.1,2.5,-7.1,367.11,1,39,17.5,10.8
2810,2810.29,275,80.1,3.7,-6.9,378.12,1,39,17.5,10.8
2811,2811.33,268.9,79.9,5.9,-7,360.57,1,39,17.5,10.8
2812,2812.31,271.8,79.5,5,-6.9,377.86,1,41,17.5,10.8
2813,2813.29,273.7,79.9,4.1,-7.7,354.76,1,45,17.5,10.8
2814,2814.26,270,79.7,4.6,-8,344.96,1,39,17.5,10.8
2815,2815.25,277.5,79.7,4.7,-8,336.58,1,26,17.5,10.8
2816,2816.25,268.6,79.5,5.7,-8.1,365.42,1,45,17.5,10.8
2817,2817.26,271.5,79.7,6.3,-8.1,336.35,1,41,17.5,10.8
2818,2818.31,270.4,79.9,5.3,-8.3,373.36,1,36,17.5,10.8
2819,2819.36,272.1,79.7,6.7,-8.6,354.42,1,41,17.5,10.8
2820,2820.34,271.7,79.8,6,-7.6,355.63,1,39,17.5,10.8
2821,2821.3,269.1,79.8,4,-7.5,364.76,1,32,17.5,10.8
2822,2822.28,271,79.6,6.1,-7.1,388.45,1,40,17.5,10.8
2823,2823.3,271.2,80.1,3.7,-8.3,370.29,1,45,17.5,10.8
2824,2824.35,273.4,79.8,4.5,-8.3,372.79,1,42,17.5,10.8
2825,2825.28,268.3,80.3,4.5,-7.8,377.04,1,39,17.5,10.8
2826,2826.29,269.7,80.4,1.6,-7.6,354.22,1,39,17.5,10.8
2827,2827.25,269.9,80.3,1.3,-7.9,356.69,1,45,17.5,10.8
2828,2828.24,272.1,79.3,6.9,-6.7,393.28,1,52,17.5,10.8
2829,2829.32,273.7,80.1,4.8,-8.5,343.05,1,45,17.5,10.8
2830,2830.32,265.6,80.5,3.3,-6.5,426.91,1,345,17.5,10.8
2831,2831.33,271,80.4,4.1,-6.5,361.06,1,466,17.5,10.8
2832,2832.33,270.7,80.5,2,-7.3,379.44,1,58,17.5,10.8
2833,2833.33,270.2,80.2,4.8,-6.2,419.57,1,58,17.5,10.8
2834,2834.29,266.4,79.9,8.2,-6.9,408.28,1,45,17.5,10.8
2835,2835.29,274.6,79.8,7.3,-6.5,384.5,1,39,17.5,10.8
2836,2836.25,268,80,5.4,-6.4,388.51,1,39,17.5,10.8
2837,2837.22,270.1,80,6.1,-6.9,344.25,1,52,17.5,10.8
2838,2838.27,271.4,79.3,6.5,-6.5,425.99,1,48,17.5,10.8
2839,2839.32,272.8,79.3,6.6,-7.5,416.29,1,45,17.5,10.8
2840,2840.29,271.3,80.4,5.9,-5.9,383.54,1,45,17.5,10.8
2841,2841.3,269.9,79.7,7.3,-4.8,456.71,1,52,17.5,10.8
2842,2842.31,274,80.2,5.3,-4.7,411.19,1,52,17.5,10.8
2843,2843.27,268.4,79.4,8.4,-4.9,447.12,1,52,17.5,10.8
2844,2844.33,270.9,79.7,7,-7.1,367.9,1,52,17.5,10.8
2845,2845.28,268.3,79.9,6.2,-6.4,392.02,1,52,17.5,10.8
2846,2846.25,269.9,79.5,7.8,-3.9,479.07,1,39,17.5,10.8
2847,2847.34,269.7,79.5,8,-4.4,473.76,1,39,17.5,10.8
2848,2848.33,274.5,80.1,3.6,-6.9,378.74,1,45,17.5,10.8
2849,2849.25,267.6,80.3,3.3,-7.7,357.89,1,39,17.5,10.8
2850,2850.29,269.7,79.9,6.6,-7.8,365.45,1,45,17.5,10.8
2851,2851.27,274.3,79.7,5.7,-7.1,384.11,1,39,17.5,10.8
2852,2852.27,268.8,80.3,3.9,-7.2,394.06,1,39,17.5,10.8
2853,2853.3,274.5,80,3.6,-7,395.35,1,39,17.5,10.8
2854,2854.26,267.4,80.9,1.1,-7.6,412.7,1,35,17.5,10.8
2855,2855.31,272.7,80.1,4.2,-7.3,443.08,1,32,17.5,10.8
2856,2856.34,265.1,80.4,4.1,-7.6,408.77,1,32,17.5,10.8
2857,2857.31,271,79.9,5.6,-7.1,405.03,1,32,17.5,10.8
2858,2858.28,267.6,80.1,5.1,-7.4,428.69,1,32,17.5,10.8
2859,2859.3,264.3,79.8,6.2,-7.5,512.75,1,45,17.5,10.8
2860,2860.3,272.9,80.2,5,-7,454.39,1,35,17.5,10.8
2861,2861.18,223.4,80.2,2.2,-7,270.09,1,32,17.5,10.8
2862,2862.27,222,79.7,8.5,2.2,467.82,1,39,17.5,10.8
2863,2863.2,270.4,79.8,7.8,2.4,341.01,1,32,17.5,10.8
2864,2864.21,259.3,80.1,7.1,3.4,390.38,1,32,17.5,10.8
2865,2865.48,136,12.5,1.8,0.5,79.31,1.1,32,17.5,10.8
2866,2866.33,62.3,0.3,1.4,0.9,138.19,1.1,32,17.5,10.8
2867,2867.29,104.4,1,2.2,0.8,150.46,1.1,33,17.5,10.8
2868,2868.28,121.7,3.3,2.2,0.7,135.11,1.1,45,17.5,10.8
2869,2869.31,125.6,0.2,2,0.5,126.69,1.1,45,17.5,10.8
2870,2870.33,123,0.2,1.4,0.3,108.22,1.1,45,17.5,10.8
2871,2871.38,106,0.8,4.2,5.9,278.55,1.1,45,17.5,10.8
2872,2872.35,84,0,5.5,8.4,299.63,1.1,52,17.5,10.8
2873,2873.3,96,0,5.2,8.6,302.59,1.1,58,17.5,10.8
2874,2874.3,118.2,2.8,4.5,7.7,253.77,1.1,59,17.5,10.8
2875,2875.29,120.1,1.1,4.6,8.1,277.45,1.1,52,17.5,10.8
2876,2876.34,120.6,0.8,5.2,8.4,289.36,1.1,68,17.5,10.8
2877,2877.33,114.9,0.1,4.7,8.3,284.51,1.1,71,17.5,10.8
2878,2878.35,123.3,0.2,4.4,7.6,266.46,1.1,59,17.5,10.8
2879,2879.33,122,0.7,4.7,8.9,307.35,1.1,60,17.5,10.8
2880,2880.32,122.7,0.1,4.6,8.1,295.64,1.1,58,17.5,10.8
2881,2881.43,134.3,0.1,5.3,7.7,321.78,1.1,65,17.5,10.8
2882,2882.29,105.9,0.1,4.8,6.2,343.61,1.1,58,17.5,10.8
2883,2883.39,104.4,0.1,6,10.7,399.05,1.1,58,17.5,10.8
2884,2884.3,60.7,0.8,6.5,11.9,450.45,1.1,58,17.5,10.8
2885,2885.33,56.1,0.3,4,7.1,272.34,1.1,58,17.5,10.8
2886,2886.32,79.4,0.2,5.2,7.1,330.42,1.1,65,17.5,10.8
2887,2887.31,140.8,0.1,4.6,5.8,288.84,1.1,58,17.5,10.8
2888,2888.33,149.1,0.1,3.8,6.1,271.67,1.1,65,17.5,10.8
2889,2889.35,150.7,0.1,3.8,6.2,261.06,1.1,65,17.5,10.8
2890,2890.34,132.8,0.1,4,7.8,340.25,1.1,65,17.5,10.8
2891,2891.34,139.6,0.1,3.6,5.7,271.28,1.1,65,17.5,10.8
2892,2892.32,144.9,0.1,4.8,7.4,339.47,1.1,65,17.5,10.8
2893,2893.29,147.6,0.1,4.1,5,272.91,1.1,65,17.5,10.8
2894,2894.33,149.1,0.1,3.3,3.5,213.55,1.1,47,17.5,10.8
2895,2895.31,149.1,0.6,2.2,2.9,176.09,1.1,52,17.5,10.8
2896,2896.28,149.8,0,2,2,135.3,1.1,52,17.5,10.8
2897,2897.32,149.8,0.5,2.9,4.8,231.78,1.1,52,17.5,10.8
2898,2898.28,127,0.5,3.7,7.9,353.49,1.1,68,17.5,10.8
2899,2899.32,145.3,0.1,4.7,5.7,285.31,1.1,58,17.5,10.8
2900,2900.28,150,0.1,4.6,6.3,307.25,1.1,58,17.5,10.8
2901,2901.32,149.2,0.1,4.7,6.7,309.02,1.1,65,17.5,10.8
2902,2902.34,146,0.1,4,4.6,292.66,1.1,65,17.5,10.8
2903,2903.32,148.1,0.7,4.1,2.9,249.87,1.1,65,17.5,10.8
2904,2904.32,150.4,0.3,4.3,4.8,281.4,1.1,58,17.5,10.8
2905,2905.33,148.9,0.5,4.6,5.5,303.74,1.1,71,17.5,10.8
2906,2906.21,118.4,30.8,4,2,228.78,1.1,71,17.5,10.8
2907,2907.31,175.3,80,6,1.8,246.6,1.1,71,17.5,10.8
2908,2908.29,201.4,79.8,5.4,1.3,252.18,1.1,58,17.5,10.8
2909,2909.32,200.5,80,4.6,-1.9,123.04,1.1,52,17.5,10.8
2910,2910.29,201.3,79.9,4.7,-1.7,127.4,1.1,51,17.5,10.8
2911,2911.26,198.8,80.2,4,0.1,171.45,1.1,52,17.5,10.8
2912,2912.31,200.2,80.4,3.2,2.1,259.31,1.1,55,17.5,10.8
2913,2913.37,201.8,80.1,4.2,3.2,291.18,1.1,65,17.5,10.8
2914,2914.34,197.7,80,5.9,3.6,299.94,1.1,65,17.5,10.8
2915,2915.3,200.7,80.3,4.4,4.4,298.64,1.1,65,17.5,10.8
2916,2916.3,202.4,80.1,5.8,3.7,268.39,1.1,65,17.5,10.8
2917,2917.31,197.4,80,3.8,-0.1,187.57,1.1,58,17.5,10.8
2918,2918.29,202.1,80.1,1.9,-2.8,94.65,1.1,50,17.5,10.8
2919,2919.26,201.2,80.2,0.8,-3.2,88.89,1.1,45,17.5,10.8
2920,2920.31,201.3,80,3.3,-2.1,89.45,1.1,42,17.5,10.8
2921,2921.29,199.2,80.5,2.7,-2.5,102.09,1.1,39,17.5,10.8
2922,2922.3,201.6,80.1,2.6,-2.6,80.01,1.1,39,17.5,10.8
2923,2923.3,200.5,80.2,1.9,-3.3,79.22,1.1,194,17.5,10.8
2924,2924.27,200.4,79.8,2.8,-3.7,54.1,1.1,32,17.5,10.8
2925,2925.25,203,79.8,2.7,-3.2,42.94,1.1,32,17.5,10.8
2926,2926.27,199.4,79.9,3,-2,70.24,1.1,32,17.5,10.8
2927,2927.29,205.4,79.6,4.7,-1.9,97.89,1.1,32,17.5,10.8
2928,2928.31,247.3,79.6,6,-2.2,105.26,1.1,52,17.5,10.8
2929,2929.32,253.1,80.1,4.5,-1.6,125.89,1.1,52,17.5,10.8
2930,2930.3,247.6,80.1,4.2,-1.7,95.07,1.1,52,17.5,10.8
2931,2931.29,256.3,80.3,2.1,-1.8,97.71,1.1,48,17.5,10.8
2932,2932.26,248.3,79.9,3.5,-2.1,97.7,1.1,39,17.5,10.8
2933,2933.27,248.6,79.7,8.4,3.5,214.82,1.1,39,17.5,10.8
2934,2934.23,190,79.7,10.9,12.2,537.95,1.1,39,17.5,10.8
2935,2935.33,220.8,80.1,9.4,8.6,396.39,1.1,65,17.5,10.8
2936,2936.24,198.8,79.8,7.2,6.5,383.24,1.1,65,17.5,10.8
2937,2937.27,246.7,79.8,4.8,-0.1,139.15,1.1,-13,17.5,10.8
2938,2938.29,251.1,80.1,2.6,-1.4,96.85,1.1,-13,17.5,10.8
2939,2939.27,251.4,80.4,2.7,-1.2,93.52,1.1,-13,17.5,10.8
2940,2940.27,248.9,79.8,3.7,-1.4,97.3,1.1,-13,17.5,10.8
2941,2941.38,238.7,80,5.4,6.6,238.51,1.1,-13,17.5,10.8
2942,2942.22,107.1,80.1,7.5,10,352.12,1.1,-13,17.5,10.8
2943,2943.22,111.7,79.8,7.2,5.2,240.92,1.1,-13,17.5,10.8
2944,2944.42,129.7,76.2,8.7,9.1,450.43,1.1,-13,17.5,10.8
2945,2945.32,83.2,80,2.8,-1.3,23.37,1.1,-13,17.5,10.8
2946,2946.3,99.8,79.8,3.3,-1,27.59,1.1,-13,17.5,10.8
2947,2947.28,99.3,79.8,3.3,-1.6,26.49,1.1,-13,17.5,10.8
2948,2948.22,112,80.1,2.8,-1.4,25.74,1.1,49,17.5,10.8
2949,2949.32,192,80,4,0.1,99.85,1.1,47,17.5,10.8
2950,2950.29,201.6,80.1,4.5,-0.2,89.76,1.1,52,17.5,10.8
2951,2951.27,201.9,79.9,5.1,-0.5,81.35,1.1,52,17.5,10.8
2952,2952.3,202.9,80,4,-0.5,83.9,1.1,39,17.5,10.8
2953,2953.3,199.6,80,4.7,-0.5,107.5,1.1,39,17.5,10.8
2954,2954.28,202.8,79.9,6,0.1,123.8,1.1,39,17.5,10.8
2955,2955.47,180.5,79.8,3.1,-1.4,11.18,1.1,39,17.5,10.8
2956,2956.32,107.8,79.8,4.8,1,135.17,1.1,39,17.5,10.8
2957,2957.32,204.3,79.9,5.8,2,162.86,1.1,45,17.5,10.8
2958,2958.27,197,80.1,6.5,4.7,277.28,1.1,45,17.5,10.8
2959,2959.26,202.6,80.2,7,6.3,300.2,1.1,52,17.5,10.8
2960,2960.32,201,80,6.9,4.6,216.04,1.1,39,17.5,10.8
2961,2961.44,130.6,80,9.2,14.5,418.64,1.1,39,17.5,10.8
2962,2962.24,59.7,80,5.6,7.7,264.3,1.1,42,17.5,10.8
2963,2963.32,108.3,80.2,1.4,-1.1,83.34,0.8,39,17.5,10.8
2964,2964.3,149.7,79.6,4.4,-1.9,48.89,0.8,39,17.5,10.8
2965,2965.27,149.4,79.9,4.2,-2.5,23.56,0.8,39,17.5,10.8
2966,2966.26,150.8,80.1,3,-2.9,20.97,0.8,1457,17.5,10.8
2967,2967.28,186.6,80.2,3.1,-2.9,40.87,0.8,1457,17.5,10.8
2968,2968.29,200.8,80.2,2.5,-2.1,46.23,0.8,221,17.5,10.8
2969,2969.3,201,80,3.7,-1.9,54.88,0.8,45,17.5,10.8
2970,2970.28,202,80.2,2.6,-2,51.22,0.8,45,17.5,10.8
2971,2971.33,199.3,79.6,4,-2.5,39.51,0.8,45,17.5,10.8
2972,2972.36,200,80.1,3.3,-2.4,37.08,0.8,45,17.5,10.8
2973,2973.35,202.6,80,1.6,-2.2,40.69,0.8,45,17.5,10.8
2974,2974.27,201.8,80.1,3.4,-2.5,37.35,0.8,45,17.5,10.8
2975,2975.3,201.2,79.7,3.7,-2.6,38.72,0.8,39,17.5,10.8
2976,2976.38,143.2,79.9,3.1,-3.2,-6.61,0.8,45,17.5,10.8
2977,2977.34,99.4,80.1,2.2,-3.3,-7.21,0.8,45,17.5,10.8
2978,2978.32,100.1,80.1,1.9,-3.1,2.17,0.8,39,17.5,10.8
2979,2979.29,139.9,80.2,3.7,-0.7,86.03,0.8,39,17.5,10.8
2980,2980.28,202.6,79.9,3.7,-1.9,107.04,0.8,39,17.5,10.8
2981,2981.34,186.4,79.5,8.1,3.2,307.17,0.8,39,17.5,10.8
2982,2982.29,184.4,80.1,3.8,-3,84.46,0.8,57,17.5,10.8
2983,2983.31,204.3,80.4,2.7,-3,50,0.8,58,17.5,10.8
2984,2984.27,233.5,80,3,-2.7,70.84,0.8,58,17.5,10.8
2985,2985.29,255.3,79.9,2.7,-2.6,95.89,0.8,58,17.5,10.8
2986,2986.36,250.4,80.2,6.4,2.5,217.18,0.8,58,17.5,10.8
2987,2987.3,241.2,79.5,10.9,5.3,419.03,0.8,58,17.5,10.8
2988,2988.28,211.6,80.1,6.7,4.7,346.41,0.8,58,17.5,10.8
2989,2989.29,195.3,79.8,7.7,4.7,356.66,0.8,58,17.5,10.8
2990,2990.29,189.1,80.4,7,5.7,355.63,0.8,58,17.5,10.8
2991,2991.31,193.1,80.2,4.2,-2.7,153.13,0.8,58,17.5,10.8
2992,2992.32,203.5,79.7,4.1,-4.3,104.05,0.8,58,17.5,10.8
2993,2993.32,200.6,79.7,3.9,-4.1,87.57,0.8,58,17.5,10.8
2994,2994.32,200.6,79.6,5.6,-3.9,78.7,0.8,52,17.5,10.8
2995,2995.28,201.2,80.1,3.2,-4.1,99.98,0.8,45,17.5,10.8
2996,2996.26,199.4,80.2,3.5,-4.3,86.11,0.8,45,17.5,10.8
2997,2997.27,203.5,80,2.5,-4.6,99.57,0.8,58,17.5,10.8
2998,2998.28,198.3,80,3.9,-4.3,89.86,0.8,58,17.5,10.8
2999,2999.27,204.6,79.6,4.4,-4.6,95.52,0.8,49,17.5,10.8
